epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5418.26,0.80426,0.4753,1.20722,0.96534,0.96401,0.98778,0.75363,0.8827,0.37803,1.29472,0.0004358,0.0004358,0.0004358
81,5500.34,0.80042,0.46054,1.2088,0.97424,0.96658,0.98574,0.76211,0.87435,0.36913,1.29011,0.000416,0.000416,0.000416
82,5580.66,0.79358,0.45816,1.20209,0.95703,0.93316,0.97046,0.721,0.92144,0.45214,1.31435,0.0003962,0.0003962,0.0003962
83,5663.59,0.78555,0.45451,1.19105,0.96996,0.96144,0.98701,0.76356,0.86499,0.37876,1.27566,0.0003764,0.0003764,0.0003764
84,5733.96,0.78341,0.45981,1.19008,0.97058,0.9563,0.98034,0.75466,0.85745,0.3798,1.28236,0.0003566,0.0003566,0.0003566
85,5813.64,0.78697,0.44524,1.1966,0.96912,0.96808,0.9882,0.76843,0.85028,0.35174,1.27836,0.0003368,0.0003368,0.0003368
86,5899.82,0.77347,0.44695,1.18875,0.96857,0.95074,0.98771,0.77221,0.86029,0.37947,1.26914,0.000317,0.000317,0.000317
87,5990.3,0.76532,0.43942,1.18405,0.97405,0.96478,0.98634,0.76233,0.87311,0.3752,1.25044,0.0002972,0.0002972,0.0002972
88,6076.83,0.7499,0.42993,1.17337,0.97725,0.96658,0.98984,0.77478,0.85936,0.36109,1.28348,0.0002774,0.0002774,0.0002774
89,6161.33,0.7659,0.42741,1.18756,0.97638,0.96658,0.98893,0.7725,0.86568,0.36112,1.26924,0.0002576,0.0002576,0.0002576
90,6256.33,0.74449,0.42299,1.16799,0.97097,0.96401,0.98553,0.76856,0.86653,0.37055,1.26548,0.0002378,0.0002378,0.0002378
91,6360.32,0.68691,0.34046,1.13363,0.97648,0.95373,0.98686,0.76443,0.85855,0.37781,1.28045,0.000218,0.000218,0.000218
92,6426.77,0.66458,0.31745,1.11248,0.97421,0.97106,0.98543,0.76695,0.86132,0.37167,1.2811,0.0001982,0.0001982,0.0001982
93,6492.74,0.66008,0.30924,1.11284,0.98017,0.96144,0.98952,0.76714,0.86458,0.36039,1.29939,0.0001784,0.0001784,0.0001784
94,6554.44,0.64476,0.30391,1.11009,0.97899,0.96401,0.9863,0.75696,0.88665,0.3701,1.30534,0.0001586,0.0001586,0.0001586
95,6619.91,0.64368,0.30472,1.10846,0.98642,0.96144,0.98693,0.77093,0.85376,0.3502,1.29113,0.0001388,0.0001388,0.0001388
96,6684.36,0.62224,0.29554,1.08714,0.96324,0.97429,0.98634,0.77253,0.86707,0.35453,1.29987,0.000119,0.000119,0.000119
97,6752.11,0.61561,0.2921,1.07902,0.96936,0.97588,0.98652,0.77067,0.85838,0.36476,1.28644,9.92e-05,9.92e-05,9.92e-05
98,6815.42,0.6132,0.28781,1.08389,0.97035,0.97172,0.9858,0.77325,0.84927,0.35394,1.27755,7.94e-05,7.94e-05,7.94e-05
99,6879.19,0.59376,0.28439,1.06019,0.97405,0.97686,0.98728,0.77437,0.85246,0.35406,1.27935,5.96e-05,5.96e-05,5.96e-05
100,6943.73,0.60284,0.28486,1.07304,0.96784,0.97429,0.98707,0.77553,0.85599,0.34982,1.28034,3.98e-05,3.98e-05,3.98e-05
